시간,장치,상태
2026-04-28 12:10:17,상태확인,전체 장치 정상
2026-04-28 12:17:20,상태확인,전체 장치 정상
2026-04-28 15:04:02,상태확인,전체 장치 정상
2026-04-28 15:05:49,상태확인,전체 장치 정상
2026-04-28 15:11:35,상태확인,전체 장치 정상
2026-04-28 15:22:41,상태확인,전체 장치 정상
2026-04-28 15:22:43,상태확인,전체 장치 정상
2026-04-28 15:22:45,상태확인,전체 장치 정상
2026-04-28 15:22:46,상태확인,전체 장치 정상
2026-04-28 15:22:46,상태확인,전체 장치 정상
2026-04-28 15:22:47,상태확인,전체 장치 정상
2026-04-28 15:25:23,상태확인,전체 장치 정상
2026-04-28 15:25:24,상태확인,전체 장치 정상
2026-04-28 15:25:24,상태확인,전체 장치 정상
2026-04-28 15:25:24,상태확인,전체 장치 정상
2026-04-28 15:25:24,상태확인,전체 장치 정상
2026-04-28 15:25:24,상태확인,전체 장치 정상
2026-04-28 15:25:24,상태확인,전체 장치 정상
2026-04-28 15:25:25,상태확인,전체 장치 정상
2026-04-28 15:25:25,상태확인,전체 장치 정상
2026-04-28 15:25:25,상태확인,전체 장치 정상
2026-04-28 15:25:25,상태확인,전체 장치 정상
2026-04-28 15:25:25,상태확인,전체 장치 정상
2026-04-28 15:25:25,상태확인,전체 장치 정상
2026-04-28 15:25:25,상태확인,전체 장치 정상
2026-04-28 15:25:25,상태확인,전체 장치 정상
2026-04-28 15:25:26,상태확인,전체 장치 정상
2026-04-28 15:25:26,상태확인,전체 장치 정상
2026-04-28 15:25:26,상태확인,전체 장치 정상
2026-04-28 15:25:26,상태확인,전체 장치 정상
2026-04-28 15:25:26,상태확인,전체 장치 정상
2026-04-28 15:25:26,상태확인,전체 장치 정상
2026-04-28 15:25:26,상태확인,전체 장치 정상
2026-04-28 15:25:26,상태확인,전체 장치 정상
2026-04-28 15:36:27,상태확인,전체 장치 정상
2026-04-28 16:10:25,상태확인,전체 장치 정상
2026-04-28 16:37:04,상태확인,전체 장치 정상
2026-04-28 16:37:31,상태확인,전체 장치 정상
2026-04-28 16:37:31,상태확인,전체 장치 정상
2026-04-28 16:37:31,상태확인,전체 장치 정상
2026-04-28 16:37:31,상태확인,전체 장치 정상
2026-04-28 16:37:32,상태확인,전체 장치 정상
2026-04-28 19:33:12,상태확인,전체 장치 정상
2026-04-28 19:33:12,상태확인,전체 장치 정상
2026-04-28 19:33:14,상태확인,전체 장치 정상
2026-04-28 19:33:15,상태확인,전체 장치 정상
2026-04-29 10:19:01,상태확인,전체 장치 정상
2026-04-29 10:19:47,상태확인,전체 장치 정상
2026-04-29 10:19:47,상태확인,전체 장치 정상
2026-04-29 10:19:48,상태확인,전체 장치 정상
2026-04-29 10:19:48,상태확인,전체 장치 정상
2026-04-29 10:19:48,상태확인,전체 장치 정상
2026-04-29 10:19:48,상태확인,전체 장치 정상
2026-04-29 10:19:48,상태확인,전체 장치 정상
2026-04-29 10:19:49,상태확인,전체 장치 정상
2026-04-29 10:19:49,상태확인,전체 장치 정상
2026-04-29 10:59:14,상태확인,전체 장치 정상
2026-04-29 11:06:51,상태확인,전체 장치 정상
2026-04-29 11:07:43,상태확인,전체 장치 정상
2026-04-29 11:30:37,상태확인,전체 장치 정상
2026-04-29 15:14:38,상태확인,전체 장치 정상
2026-04-29 15:28:14,상태확인,전체 장치 정상
2026-04-29 15:28:15,상태확인,전체 장치 정상
2026-04-29 15:28:18,상태확인,전체 장치 정상
2026-04-29 15:28:19,상태확인,전체 장치 정상
2026-04-29 15:28:19,상태확인,전체 장치 정상
2026-04-29 15:28:19,상태확인,전체 장치 정상
2026-04-29 15:28:19,상태확인,전체 장치 정상
